Model,Horizon (h),MAE,sMAPE (%),MASE
Seasonal Naive,1,318.6117,11.6769,0.9402
Prophet,1,612.0733,32.6822,1.8061
XGBoost,1,176.1365,7.4493,0.5197
LSTM,1,356.7979,22.2246,1.0528
Seasonal Naive,3,318.4985,11.6830,0.9398
Prophet,3,612.1979,32.6917,1.8065
XGBoost,3,216.5343,9.4532,0.6390
LSTM,3,325.5380,13.3323,0.9606
Seasonal Naive,6,318.1696,11.6833,0.9389
Prophet,6,612.3313,32.7038,1.8069
XGBoost,6,246.7107,11.2880,0.7280
LSTM,6,289.5374,11.4872,0.8544
Seasonal Naive,12,318.1722,11.6845,0.9389
Prophet,12,612.5248,32.6926,1.8075
XGBoost,12,295.1253,13.9565,0.8709
LSTM,12,274.6781,12.1764,0.8105
Seasonal Naive,24,318.6929,11.6681,0.9404
Prophet,24,611.8561,32.6236,1.8055
XGBoost,24,351.7814,16.6423,1.0380
LSTM,24,361.5113,14.9656,1.0668
